,Product,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6770.peg.1304,MutT/Nudix family protein,fig|287.6613.peg.1253,fig|287.6611.peg.1257,fig|287.6614.peg.1349,fig|287.6616.peg.1281,fig|287.6612.peg.1347,fig|287.6618.peg.1299,fig|287.6615.peg.1267,fig|287.6617.peg.1289,fig|287.6621.peg.1381,fig|287.6619.peg.1245,fig|287.6622.peg.4751,fig|287.6623.peg.5218,fig|287.6624.peg.1349,fig|287.6625.peg.1334,fig|287.6657.peg.1343,fig|287.6655.peg.3968,fig|287.6631.peg.1307,fig|287.6628.peg.1256,fig|287.6632.peg.1243,fig|287.6629.peg.1356,fig|287.6635.peg.1249,fig|287.6633.peg.1329,fig|287.6634.peg.1352,fig|287.6637.peg.1433,fig|287.6636.peg.1279,fig|287.6620.peg.5211,fig|287.6630.peg.1262,fig|287.6639.peg.1351,fig|287.6638.peg.1260,fig|287.6627.peg.1229
fig|287.6770.peg.1305,Uncharacterized Nudix hydrolase NudL,fig|287.6613.peg.1254,fig|287.6611.peg.1258,fig|287.6614.peg.1350,fig|287.6616.peg.1282,fig|287.6612.peg.1348,fig|287.6618.peg.1300,fig|287.6615.peg.1268,fig|287.6617.peg.1290,fig|287.6621.peg.1382,fig|287.6619.peg.1246,fig|287.6622.peg.4750,fig|287.6623.peg.5217,fig|287.6624.peg.1350,fig|287.6625.peg.1335,fig|287.6657.peg.1344,fig|287.6655.peg.3967,fig|287.6631.peg.1308,fig|287.6628.peg.1257,fig|287.6632.peg.1244,fig|287.6629.peg.1357,fig|287.6635.peg.1250,fig|287.6633.peg.1330,fig|287.6634.peg.1353,fig|287.6637.peg.1434,fig|287.6636.peg.1280,fig|287.6620.peg.5210,fig|287.6630.peg.1263,fig|287.6639.peg.1352,fig|287.6638.peg.1261,fig|287.6627.peg.1230
fig|287.6770.peg.1306,Carbonic anhydrase-like protein MJ0304,fig|287.6613.peg.1255,fig|287.6611.peg.1259,fig|287.6614.peg.1351,fig|287.6616.peg.1283,fig|287.6612.peg.1349,fig|287.6618.peg.1301,fig|287.6615.peg.1269,fig|287.6617.peg.1291,fig|287.6621.peg.1383,fig|287.6619.peg.1247,fig|287.6622.peg.4749,fig|287.6623.peg.5216,fig|287.6624.peg.1351,fig|287.6625.peg.1336,fig|287.6657.peg.1345,fig|287.6655.peg.3966,fig|287.6631.peg.1309,fig|287.6628.peg.1258,fig|287.6632.peg.1245,fig|287.6629.peg.1358,fig|287.6635.peg.1251,fig|287.6633.peg.1331,fig|287.6634.peg.1354,fig|287.6637.peg.1435,fig|287.6636.peg.1281,fig|287.6620.peg.5209,fig|287.6630.peg.1264,fig|287.6639.peg.1353,fig|287.6638.peg.1262,fig|287.6627.peg.1231
fig|287.6770.peg.1307,hypothetical protein,fig|287.6613.peg.1256,fig|287.6611.peg.1260,fig|287.6614.peg.1352,fig|287.6616.peg.1284,fig|287.6612.peg.1350,fig|287.6618.peg.1302,fig|287.6615.peg.1270,fig|287.6617.peg.1292,fig|287.6621.peg.1384,fig|287.6619.peg.1248,fig|287.6622.peg.4748,fig|287.6623.peg.5215,fig|287.6624.peg.1352,fig|287.6625.peg.1337,fig|287.6657.peg.1346,fig|287.6655.peg.3965,fig|287.6631.peg.1310,fig|287.6628.peg.1259,fig|287.6632.peg.1246,fig|287.6629.peg.1359,fig|287.6635.peg.1252,fig|287.6633.peg.1332,fig|287.6634.peg.1355,fig|287.6637.peg.1436,fig|287.6636.peg.1282,fig|287.6620.peg.5208,fig|287.6630.peg.1265,fig|287.6639.peg.1354,fig|287.6638.peg.1263,fig|287.6627.peg.1232
fig|287.6770.peg.1308,Formate-dependent phosphoribosylglycinamide formyltransferase,fig|287.6613.peg.1257,fig|287.6611.peg.1261,fig|287.6614.peg.1353,fig|287.6616.peg.1285,fig|287.6612.peg.1351,fig|287.6618.peg.1303,fig|287.6615.peg.1271,fig|287.6617.peg.1293,fig|287.6621.peg.1385,fig|287.6619.peg.1249,fig|287.6622.peg.4747,fig|287.6623.peg.5214,fig|287.6624.peg.1353,fig|287.6625.peg.1338,fig|287.6657.peg.1347,fig|287.6655.peg.3964,fig|287.6631.peg.1311,fig|287.6628.peg.1260,fig|287.6632.peg.1247,fig|287.6629.peg.1360,fig|287.6635.peg.1253,fig|287.6633.peg.1333,fig|287.6634.peg.1356,fig|287.6637.peg.1437,fig|287.6636.peg.1283,fig|287.6620.peg.5207,fig|287.6630.peg.1266,fig|287.6639.peg.1355,fig|287.6638.peg.1264,fig|287.6627.peg.1233
fig|287.6770.peg.1309,Lysophospholipase L1 and related esterases,fig|287.6613.peg.1258,fig|287.6611.peg.1262,fig|287.6614.peg.1354,fig|287.6616.peg.1286,fig|287.6612.peg.1352,fig|287.6618.peg.1304,fig|287.6615.peg.1272,fig|287.6617.peg.1294,fig|287.6621.peg.1386,fig|287.6619.peg.1250,fig|287.6622.peg.4746,fig|287.6623.peg.5213,fig|287.6624.peg.1354,fig|287.6625.peg.1339,fig|287.6657.peg.1348,fig|287.6655.peg.3963,fig|287.6631.peg.1312,fig|287.6628.peg.1261,fig|287.6632.peg.1248,fig|287.6629.peg.1361,fig|287.6635.peg.1254,fig|287.6633.peg.1334,fig|287.6634.peg.1357,fig|287.6637.peg.1438,fig|287.6636.peg.1284,fig|287.6620.peg.5206,fig|287.6630.peg.1267,fig|287.6639.peg.1356,fig|287.6638.peg.1265,fig|287.6627.peg.1234
fig|287.6770.peg.130,"Transcriptional regulator, GntR family",fig|287.6613.peg.131,fig|287.6611.peg.133,fig|287.6614.peg.144,fig|287.6616.peg.129,fig|287.6612.peg.139,fig|287.6618.peg.128,fig|287.6615.peg.137,fig|287.6617.peg.129,fig|287.6621.peg.132,fig|287.6619.peg.131,fig|287.6622.peg.183,fig|287.6623.peg.183,fig|287.6624.peg.145,fig|287.6625.peg.132,fig|287.6657.peg.203,fig|287.6655.peg.131,fig|287.6631.peg.135,fig|287.6628.peg.139,fig|287.6632.peg.130,fig|287.6629.peg.136,fig|287.6635.peg.129,fig|287.6633.peg.132,fig|287.6634.peg.144,fig|287.6637.peg.189,fig|287.6636.peg.133,fig|287.6620.peg.128,fig|287.6630.peg.130,fig|287.6639.peg.145,fig|287.6638.peg.137,fig|287.6627.peg.132
fig|287.6770.peg.1310,Uncharacterized MFS-type transporter YhjE,fig|287.6613.peg.1259,fig|287.6611.peg.1263,fig|287.6614.peg.1355,fig|287.6616.peg.1287,fig|287.6612.peg.1353,fig|287.6618.peg.1305,fig|287.6615.peg.1273,fig|287.6617.peg.1295,fig|287.6621.peg.1387,fig|287.6619.peg.1251,fig|287.6622.peg.4745,fig|287.6623.peg.5212,fig|287.6624.peg.1355,fig|287.6625.peg.1340,fig|287.6657.peg.1349,fig|287.6655.peg.3962,fig|287.6631.peg.1313,fig|287.6628.peg.1262,fig|287.6632.peg.1249,fig|287.6629.peg.1362,fig|287.6635.peg.1255,fig|287.6633.peg.1335,fig|287.6634.peg.1358,fig|287.6637.peg.1439,fig|287.6636.peg.1285,fig|287.6620.peg.5205,fig|287.6630.peg.1268,fig|287.6639.peg.1357,fig|287.6638.peg.1266,fig|287.6627.peg.1235
fig|287.6770.peg.1311,hypothetical protein,fig|287.6613.peg.1261,fig|287.6611.peg.1265,fig|287.6614.peg.1356,fig|287.6616.peg.1289,fig|287.6612.peg.1354,fig|287.6618.peg.1306,fig|287.6615.peg.1275,fig|287.6617.peg.1297,fig|287.6621.peg.1389,fig|287.6619.peg.1253,fig|287.6622.peg.4744,fig|287.6623.peg.5211,fig|287.6624.peg.1356,fig|287.6625.peg.1342,fig|287.6657.peg.1350,fig|287.6655.peg.3960,fig|287.6631.peg.1315,fig|287.6628.peg.1264,fig|287.6632.peg.1251,fig|287.6629.peg.1364,fig|287.6635.peg.1257,fig|287.6633.peg.1337,fig|287.6634.peg.1359,fig|287.6637.peg.1441,fig|287.6636.peg.1287,fig|287.6620.peg.5203,fig|287.6630.peg.1270,fig|287.6639.peg.1358,fig|287.6638.peg.1268,fig|287.6627.peg.1237
fig|287.6770.peg.1312,Inner membrane protein YpjD,fig|287.6613.peg.1262,fig|287.6611.peg.1266,fig|287.6614.peg.1357,fig|287.6616.peg.1290,fig|287.6612.peg.1355,fig|287.6618.peg.1307,,fig|287.6617.peg.1298,fig|287.6621.peg.1390,fig|287.6619.peg.1254,fig|287.6622.peg.4743,fig|287.6623.peg.5210,fig|287.6624.peg.1357,fig|287.6625.peg.1343,fig|287.6657.peg.1351,fig|287.6655.peg.3959,fig|287.6631.peg.1316,fig|287.6628.peg.1265,fig|287.6632.peg.1252,fig|287.6629.peg.1365,fig|287.6635.peg.1258,fig|287.6633.peg.1338,fig|287.6634.peg.1360,fig|287.6637.peg.1442,fig|287.6636.peg.1288,fig|287.6620.peg.5202,fig|287.6630.peg.1271,fig|287.6639.peg.1359,fig|287.6638.peg.1269,fig|287.6627.peg.1238
fig|287.6770.peg.1313,Signal recognition particle protein Ffh,fig|287.6613.peg.1263,fig|287.6611.peg.1267,fig|287.6614.peg.1358,fig|287.6616.peg.1291,fig|287.6612.peg.1356,fig|287.6618.peg.1308,fig|287.6615.peg.1278,fig|287.6617.peg.1299,fig|287.6621.peg.1391,fig|287.6619.peg.1255,fig|287.6622.peg.4742,fig|287.6623.peg.5209,fig|287.6624.peg.1358,fig|287.6625.peg.1344,fig|287.6657.peg.1352,fig|287.6655.peg.3958,fig|287.6631.peg.1317,,fig|287.6632.peg.1253,fig|287.6629.peg.1366,fig|287.6635.peg.1259,fig|287.6633.peg.1339,,fig|287.6637.peg.1443,fig|287.6636.peg.1289,fig|287.6620.peg.5201,fig|287.6630.peg.1272,fig|287.6639.peg.1360,fig|287.6638.peg.1270,fig|287.6627.peg.1239
fig|287.6770.peg.1314,SSU ribosomal protein S16p,fig|287.6613.peg.1264,fig|287.6611.peg.1268,fig|287.6614.peg.1359,fig|287.6616.peg.1292,fig|287.6612.peg.1357,fig|287.6618.peg.1309,fig|287.6615.peg.1279,fig|287.6617.peg.1300,fig|287.6621.peg.1392,fig|287.6619.peg.1256,fig|287.6622.peg.4741,fig|287.6623.peg.5208,fig|287.6624.peg.1359,fig|287.6625.peg.1345,fig|287.6657.peg.1353,fig|287.6655.peg.3957,fig|287.6631.peg.1318,,fig|287.6632.peg.1254,fig|287.6629.peg.1367,fig|287.6635.peg.1260,fig|287.6633.peg.1340,,fig|287.6637.peg.1444,fig|287.6636.peg.1290,fig|287.6620.peg.5200,fig|287.6630.peg.1273,fig|287.6639.peg.1361,fig|287.6638.peg.1271,fig|287.6627.peg.1240
fig|287.6770.peg.1315,16S rRNA processing protein RimM,fig|287.6613.peg.1265,fig|287.6611.peg.1269,fig|287.6614.peg.1360,fig|287.6616.peg.1293,fig|287.6612.peg.1358,fig|287.6618.peg.1310,fig|287.6615.peg.1280,fig|287.6617.peg.1301,fig|287.6621.peg.1393,fig|287.6619.peg.1257,fig|287.6622.peg.4740,fig|287.6623.peg.5207,fig|287.6624.peg.1360,fig|287.6625.peg.1346,fig|287.6657.peg.1354,fig|287.6655.peg.3956,fig|287.6631.peg.1319,fig|287.6628.peg.1267,fig|287.6632.peg.1255,fig|287.6629.peg.1368,fig|287.6635.peg.1261,fig|287.6633.peg.1341,fig|287.6634.peg.1362,fig|287.6637.peg.1445,fig|287.6636.peg.1291,fig|287.6620.peg.5199,fig|287.6630.peg.1274,fig|287.6639.peg.1362,fig|287.6638.peg.1272,fig|287.6627.peg.1241
fig|287.6770.peg.1316,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),fig|287.6613.peg.1266,fig|287.6611.peg.1270,fig|287.6614.peg.1361,fig|287.6616.peg.1294,fig|287.6612.peg.1359,fig|287.6618.peg.1311,fig|287.6615.peg.1281,fig|287.6617.peg.1302,fig|287.6621.peg.1394,fig|287.6619.peg.1258,fig|287.6622.peg.4739,fig|287.6623.peg.5206,fig|287.6624.peg.1361,fig|287.6625.peg.1347,fig|287.6657.peg.1355,fig|287.6655.peg.3955,fig|287.6631.peg.1320,fig|287.6628.peg.1268,fig|287.6632.peg.1256,fig|287.6629.peg.1369,fig|287.6635.peg.1262,fig|287.6633.peg.1342,fig|287.6634.peg.1363,fig|287.6637.peg.1446,fig|287.6636.peg.1292,fig|287.6620.peg.5198,fig|287.6630.peg.1275,fig|287.6639.peg.1363,fig|287.6638.peg.1273,fig|287.6627.peg.1242
fig|287.6770.peg.1317,LSU ribosomal protein L19p,fig|287.6613.peg.1267,fig|287.6611.peg.1271,fig|287.6614.peg.1362,fig|287.6616.peg.1295,fig|287.6612.peg.1360,fig|287.6618.peg.1312,fig|287.6615.peg.1282,fig|287.6617.peg.1303,fig|287.6621.peg.1395,fig|287.6619.peg.1259,fig|287.6622.peg.4738,fig|287.6623.peg.5205,fig|287.6624.peg.1362,fig|287.6625.peg.1348,fig|287.6657.peg.1356,fig|287.6655.peg.3954,fig|287.6631.peg.1321,fig|287.6628.peg.1269,fig|287.6632.peg.1257,fig|287.6629.peg.1370,fig|287.6635.peg.1263,fig|287.6633.peg.1343,fig|287.6634.peg.1364,fig|287.6637.peg.1447,fig|287.6636.peg.1293,fig|287.6620.peg.5197,fig|287.6630.peg.1276,fig|287.6639.peg.1364,fig|287.6638.peg.1274,fig|287.6627.peg.1243
fig|287.6770.peg.1318,Acyl-CoA hydrolase (EC 3.1.2.20),fig|287.6613.peg.1268,fig|287.6611.peg.1272,fig|287.6614.peg.1363,fig|287.6616.peg.1296,fig|287.6612.peg.1361,fig|287.6618.peg.1313,fig|287.6615.peg.1283,fig|287.6617.peg.1304,fig|287.6621.peg.1396,fig|287.6619.peg.1260,fig|287.6622.peg.4737,fig|287.6623.peg.5204,fig|287.6624.peg.1363,fig|287.6625.peg.1349,fig|287.6657.peg.1357,fig|287.6655.peg.3953,fig|287.6631.peg.1322,fig|287.6628.peg.1270,fig|287.6632.peg.1258,fig|287.6629.peg.1371,fig|287.6635.peg.1264,fig|287.6633.peg.1344,fig|287.6634.peg.1365,fig|287.6637.peg.1448,fig|287.6636.peg.1294,fig|287.6620.peg.5196,fig|287.6630.peg.1277,fig|287.6639.peg.1365,fig|287.6638.peg.1275,fig|287.6627.peg.1244
fig|287.6770.peg.1319,"Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB",fig|287.6613.peg.1269,fig|287.6611.peg.1273,fig|287.6614.peg.1364,fig|287.6616.peg.1297,fig|287.6612.peg.1362,fig|287.6618.peg.1314,fig|287.6615.peg.1284,fig|287.6617.peg.1305,fig|287.6621.peg.1397,fig|287.6619.peg.1261,fig|287.6622.peg.4736,fig|287.6623.peg.5203,fig|287.6624.peg.1364,fig|287.6625.peg.1350,fig|287.6657.peg.1358,fig|287.6655.peg.3952,fig|287.6631.peg.1323,fig|287.6628.peg.1271,fig|287.6632.peg.1259,fig|287.6629.peg.1372,fig|287.6635.peg.1265,fig|287.6633.peg.1345,fig|287.6634.peg.1366,fig|287.6637.peg.1449,fig|287.6636.peg.1295,fig|287.6620.peg.5195,fig|287.6630.peg.1278,fig|287.6639.peg.1366,fig|287.6638.peg.1276,fig|287.6627.peg.1245
fig|287.6770.peg.131,hypothetical protein,fig|287.6613.peg.133,fig|287.6611.peg.134,fig|287.6614.peg.145,fig|287.6616.peg.130,fig|287.6612.peg.140,fig|287.6618.peg.129,fig|287.6615.peg.138,fig|287.6617.peg.130,fig|287.6621.peg.133,fig|287.6619.peg.132,fig|287.6622.peg.184,fig|287.6623.peg.184,fig|287.6624.peg.146,fig|287.6625.peg.133,fig|287.6657.peg.204,fig|287.6655.peg.132,fig|287.6631.peg.136,fig|287.6628.peg.140,fig|287.6632.peg.131,fig|287.6629.peg.137,fig|287.6635.peg.130,fig|287.6633.peg.133,fig|287.6634.peg.145,fig|287.6637.peg.190,fig|287.6636.peg.134,fig|287.6620.peg.129,fig|287.6630.peg.131,fig|287.6639.peg.146,fig|287.6638.peg.138,fig|287.6627.peg.133
fig|287.6770.peg.1320,Sodium/hydrogen exchanger family protein,fig|287.6613.peg.1270,fig|287.6611.peg.1274,fig|287.6614.peg.1365,fig|287.6616.peg.1298,fig|287.6612.peg.1363,fig|287.6618.peg.1315,fig|287.6615.peg.1285,fig|287.6617.peg.1306,fig|287.6621.peg.1398,fig|287.6619.peg.1262,fig|287.6622.peg.4735,fig|287.6623.peg.5202,fig|287.6624.peg.1365,fig|287.6625.peg.1351,fig|287.6657.peg.1359,fig|287.6655.peg.3951,fig|287.6631.peg.1324,fig|287.6628.peg.1272,fig|287.6632.peg.1260,fig|287.6629.peg.1373,fig|287.6635.peg.1266,fig|287.6633.peg.1346,fig|287.6634.peg.1367,fig|287.6637.peg.1450,fig|287.6636.peg.1296,fig|287.6620.peg.5194,fig|287.6630.peg.1279,fig|287.6639.peg.1367,fig|287.6638.peg.1277,fig|287.6627.peg.1246
fig|287.6770.peg.1321,Site-specific tyrosine recombinase XerD,fig|287.6613.peg.1271,fig|287.6611.peg.1275,fig|287.6614.peg.1366,fig|287.6616.peg.1299,fig|287.6612.peg.1364,fig|287.6618.peg.1316,fig|287.6615.peg.1286,fig|287.6617.peg.1307,fig|287.6621.peg.1399,fig|287.6619.peg.1263,fig|287.6622.peg.4734,fig|287.6623.peg.5201,fig|287.6624.peg.1366,fig|287.6625.peg.1352,fig|287.6657.peg.1360,fig|287.6655.peg.3950,fig|287.6631.peg.1325,fig|287.6628.peg.1273,fig|287.6632.peg.1261,fig|287.6629.peg.1374,fig|287.6635.peg.1267,fig|287.6633.peg.1347,fig|287.6634.peg.1368,fig|287.6637.peg.1451,fig|287.6636.peg.1297,fig|287.6620.peg.5193,fig|287.6630.peg.1280,fig|287.6639.peg.1368,fig|287.6638.peg.1278,fig|287.6627.peg.1247
fig|287.6770.peg.1322,Thiol:disulfide interchange protein DsbC,fig|287.6613.peg.1272,fig|287.6611.peg.1276,fig|287.6614.peg.1367,fig|287.6616.peg.1300,fig|287.6612.peg.1365,fig|287.6618.peg.1317,fig|287.6615.peg.1287,fig|287.6617.peg.1308,fig|287.6621.peg.1400,fig|287.6619.peg.1264,fig|287.6622.peg.4733,fig|287.6623.peg.5200,fig|287.6624.peg.1367,fig|287.6625.peg.1353,fig|287.6657.peg.1361,fig|287.6655.peg.3949,fig|287.6631.peg.1326,fig|287.6628.peg.1274,fig|287.6632.peg.1262,fig|287.6629.peg.1375,fig|287.6635.peg.1268,fig|287.6633.peg.1348,fig|287.6634.peg.1369,fig|287.6637.peg.1452,fig|287.6636.peg.1298,fig|287.6620.peg.5192,fig|287.6630.peg.1281,fig|287.6639.peg.1369,fig|287.6638.peg.1279,fig|287.6627.peg.1248
fig|287.6770.peg.1323,Homoserine dehydrogenase (EC 1.1.1.3),fig|287.6613.peg.1274,fig|287.6611.peg.1277,fig|287.6614.peg.1369,fig|287.6616.peg.1301,fig|287.6612.peg.1366,fig|287.6618.peg.1319,fig|287.6615.peg.1289,fig|287.6617.peg.1310,fig|287.6621.peg.1402,fig|287.6619.peg.1265,fig|287.6622.peg.4731,fig|287.6623.peg.5199,fig|287.6624.peg.1369,fig|287.6625.peg.1354,fig|287.6657.peg.1362,fig|287.6655.peg.3948,fig|287.6631.peg.1327,fig|287.6628.peg.1276,fig|287.6632.peg.1263,fig|287.6629.peg.1377,fig|287.6635.peg.1269,fig|287.6633.peg.1349,fig|287.6634.peg.1371,fig|287.6637.peg.1453,fig|287.6636.peg.1300,fig|287.6620.peg.5191,fig|287.6630.peg.1283,fig|287.6639.peg.1371,fig|287.6638.peg.1280,fig|287.6627.peg.1249
fig|287.6770.peg.1324,Threonine synthase (EC 4.2.3.1),fig|287.6613.peg.1275,fig|287.6611.peg.1278,fig|287.6614.peg.1370,fig|287.6616.peg.1302,fig|287.6612.peg.1367,fig|287.6618.peg.1320,fig|287.6615.peg.1290,fig|287.6617.peg.1311,fig|287.6621.peg.1403,fig|287.6619.peg.1266,fig|287.6622.peg.4730,fig|287.6623.peg.5198,fig|287.6624.peg.1370,fig|287.6625.peg.1355,fig|287.6657.peg.1363,fig|287.6655.peg.3947,fig|287.6631.peg.1328,fig|287.6628.peg.1277,fig|287.6632.peg.1264,fig|287.6629.peg.1378,fig|287.6635.peg.1270,fig|287.6633.peg.1350,fig|287.6634.peg.1372,fig|287.6637.peg.1454,fig|287.6636.peg.1301,fig|287.6620.peg.5190,fig|287.6630.peg.1284,fig|287.6639.peg.1372,fig|287.6638.peg.1281,fig|287.6627.peg.1250
fig|287.6770.peg.1325,Adenylate cyclase (EC 4.6.1.1),fig|287.6613.peg.1276,fig|287.6611.peg.1279,fig|287.6614.peg.1371,fig|287.6616.peg.1303,fig|287.6612.peg.1368,fig|287.6618.peg.1321,fig|287.6615.peg.1291,fig|287.6617.peg.1312,fig|287.6621.peg.1404,fig|287.6619.peg.1267,fig|287.6622.peg.4729,fig|287.6623.peg.5197,fig|287.6624.peg.1371,fig|287.6625.peg.1356,,fig|287.6655.peg.3946,fig|287.6631.peg.1329,fig|287.6628.peg.1278,fig|287.6632.peg.1265,fig|287.6629.peg.1379,fig|287.6635.peg.1271,fig|287.6633.peg.1351,fig|287.6634.peg.1373,fig|287.6637.peg.1455,fig|287.6636.peg.1302,fig|287.6620.peg.5189,fig|287.6630.peg.1285,fig|287.6639.peg.1373,fig|287.6638.peg.1282,fig|287.6627.peg.1251
fig|287.6770.peg.1326,hypothetical protein,fig|287.6613.peg.1277,fig|287.6611.peg.1281,fig|287.6614.peg.1373,fig|287.6616.peg.1304,fig|287.6612.peg.1369,fig|287.6618.peg.1322,fig|287.6615.peg.1292,fig|287.6617.peg.1313,fig|287.6621.peg.1405,fig|287.6619.peg.1268,fig|287.6622.peg.4728,fig|287.6623.peg.5196,fig|287.6624.peg.1372,fig|287.6625.peg.1357,fig|287.6657.peg.1364,fig|287.6655.peg.3945,fig|287.6631.peg.1330,fig|287.6628.peg.1279,fig|287.6632.peg.1266,fig|287.6629.peg.1380,fig|287.6635.peg.1272,fig|287.6633.peg.1352,fig|287.6634.peg.1374,fig|287.6637.peg.1456,fig|287.6636.peg.1303,fig|287.6620.peg.5188,fig|287.6630.peg.1286,fig|287.6639.peg.1374,fig|287.6638.peg.1283,fig|287.6627.peg.1252
fig|287.6770.peg.1327,L-carnitine dehydratase/bile acid-inducible protein F,fig|287.6613.peg.1279,fig|287.6611.peg.1283,,fig|287.6616.peg.1305,fig|287.6612.peg.1371,fig|287.6618.peg.1324,fig|287.6615.peg.1294,fig|287.6617.peg.1315,fig|287.6621.peg.1406,fig|287.6619.peg.1269,fig|287.6622.peg.4726,fig|287.6623.peg.5194,,fig|287.6625.peg.1359,fig|287.6657.peg.1365,fig|287.6655.peg.3944,fig|287.6631.peg.1332,fig|287.6628.peg.1281,fig|287.6632.peg.1268,fig|287.6629.peg.1382,fig|287.6635.peg.1274,fig|287.6633.peg.1353,,fig|287.6637.peg.1458,fig|287.6636.peg.1305,fig|287.6620.peg.5186,fig|287.6630.peg.1288,,fig|287.6638.peg.1285,fig|287.6627.peg.1254
fig|287.6770.peg.1328,FIG006163: hypothetical protein,fig|287.6613.peg.1280,fig|287.6611.peg.1284,fig|287.6614.peg.1377,fig|287.6616.peg.1306,fig|287.6612.peg.1372,fig|287.6618.peg.1325,fig|287.6615.peg.1295,fig|287.6617.peg.1316,fig|287.6621.peg.1407,fig|287.6619.peg.1270,fig|287.6622.peg.4725,fig|287.6623.peg.5193,fig|287.6624.peg.1376,fig|287.6625.peg.1360,fig|287.6657.peg.1366,fig|287.6655.peg.3943,fig|287.6631.peg.1333,fig|287.6628.peg.1282,fig|287.6632.peg.1269,fig|287.6629.peg.1383,fig|287.6635.peg.1275,fig|287.6633.peg.1354,fig|287.6634.peg.1378,fig|287.6637.peg.1459,fig|287.6636.peg.1306,fig|287.6620.peg.5185,fig|287.6630.peg.1289,fig|287.6639.peg.1378,fig|287.6638.peg.1286,fig|287.6627.peg.1255
fig|287.6770.peg.1329,PspA/IM30 family protein,fig|287.6613.peg.1281,fig|287.6611.peg.1285,fig|287.6614.peg.1378,fig|287.6616.peg.1307,fig|287.6612.peg.1373,fig|287.6618.peg.1326,fig|287.6615.peg.1296,fig|287.6617.peg.1317,fig|287.6621.peg.1408,fig|287.6619.peg.1271,fig|287.6622.peg.4724,fig|287.6623.peg.5192,fig|287.6624.peg.1377,fig|287.6625.peg.1361,fig|287.6657.peg.1367,fig|287.6655.peg.3942,fig|287.6631.peg.1334,fig|287.6628.peg.1283,fig|287.6632.peg.1270,fig|287.6629.peg.1384,fig|287.6635.peg.1276,fig|287.6633.peg.1355,fig|287.6634.peg.1379,fig|287.6637.peg.1460,fig|287.6636.peg.1307,fig|287.6620.peg.5184,fig|287.6630.peg.1290,fig|287.6639.peg.1379,fig|287.6638.peg.1287,fig|287.6627.peg.1256
fig|287.6770.peg.132,"Transcriptional regulator, LysR family",fig|287.6613.peg.134,fig|287.6611.peg.135,fig|287.6614.peg.146,fig|287.6616.peg.131,fig|287.6612.peg.141,fig|287.6618.peg.130,fig|287.6615.peg.139,fig|287.6617.peg.131,fig|287.6621.peg.134,fig|287.6619.peg.133,fig|287.6622.peg.185,fig|287.6623.peg.185,fig|287.6624.peg.147,fig|287.6625.peg.134,fig|287.6657.peg.205,fig|287.6655.peg.133,fig|287.6631.peg.137,fig|287.6628.peg.141,fig|287.6632.peg.132,fig|287.6629.peg.138,fig|287.6635.peg.131,fig|287.6633.peg.134,fig|287.6634.peg.146,fig|287.6637.peg.191,fig|287.6636.peg.135,fig|287.6620.peg.130,fig|287.6630.peg.132,fig|287.6639.peg.147,fig|287.6638.peg.139,fig|287.6627.peg.134
fig|287.6770.peg.1330,hypothetical protein,fig|287.6613.peg.1282,fig|287.6611.peg.1286,fig|287.6614.peg.1379,fig|287.6616.peg.1308,fig|287.6612.peg.1374,fig|287.6618.peg.1327,fig|287.6615.peg.1297,fig|287.6617.peg.1318,fig|287.6621.peg.1409,fig|287.6619.peg.1272,fig|287.6622.peg.4723,fig|287.6623.peg.5191,fig|287.6624.peg.1378,fig|287.6625.peg.1362,fig|287.6657.peg.1368,fig|287.6655.peg.3941,fig|287.6631.peg.1335,fig|287.6628.peg.1284,fig|287.6632.peg.1271,fig|287.6629.peg.1385,fig|287.6635.peg.1277,fig|287.6633.peg.1356,fig|287.6634.peg.1380,fig|287.6637.peg.1461,fig|287.6636.peg.1308,fig|287.6620.peg.5183,fig|287.6630.peg.1291,fig|287.6639.peg.1380,fig|287.6638.peg.1288,fig|287.6627.peg.1257
fig|287.6770.peg.1331,Inner membrane protein YqiK,fig|287.6613.peg.1283,fig|287.6611.peg.1287,fig|287.6614.peg.1380,fig|287.6616.peg.1309,fig|287.6612.peg.1375,fig|287.6618.peg.1328,fig|287.6615.peg.1298,fig|287.6617.peg.1319,fig|287.6621.peg.1410,fig|287.6619.peg.1273,fig|287.6622.peg.4722,fig|287.6623.peg.5190,fig|287.6624.peg.1379,fig|287.6625.peg.1363,fig|287.6657.peg.1369,fig|287.6655.peg.3940,fig|287.6631.peg.1336,fig|287.6628.peg.1285,fig|287.6632.peg.1272,fig|287.6629.peg.1386,fig|287.6635.peg.1278,fig|287.6633.peg.1357,fig|287.6634.peg.1381,fig|287.6637.peg.1462,fig|287.6636.peg.1309,fig|287.6620.peg.5182,fig|287.6630.peg.1292,fig|287.6639.peg.1381,fig|287.6638.peg.1289,fig|287.6627.peg.1258
